year,TeamID,opexpperpart_men,opexpperteam_men,rev_men,exp_men,opexpperpart_men
2011,1422,15080,241281,1081988,990048,
2011,1300,10857,206274,692661,692661,
2011,1301,48701,779211,10354157,3104152,
2011,1423,17598,263967,1175056,1175056,
2011,1448,27291,491231,9064780,4196104,
2011,1315,19538,293074,884969,917815,
2011,1295,17359,277739,1029535,1029535,
2011,1103,17561,298535,1817692,1817692,
2011,1153,49826,847046,4927771,3754077,
2011,1156,18515,259214,1766502,1766502,
2011,1173,60418,1027107,9846857,3762439,
2011,1275,23714,331994,1528190,1528190,
2011,1326,103298,1549465,16190723,4554908,
2011,1325,30987,371849,2614831,2327125,
2011,1460,21730,282491,1892346,1892347,
2011,1462,81559,1141820,10055970,3597858,
2011,1329,39951,759069,12085306,9477405,
2011,1328,89147,1515501,8626247,5720497,
2011,1331,23404,374463,2090174,1994129,
2011,1409,46611,745777,2359883,2969935,
2011,1333,37550,563248,4938930,3675571,
2011,1332,81196,1217947,3240150,5491846,
2011,1340,12656,189843,1017468,1017468,
2011,1137,23741,332378,1594981,1594981,
2011,1180,32305,452263,2124475,2221643,
2011,1247,26158,340050,2393680,2149581,
2011,1248,8019,128297,1357307,1357307,
2011,1250,10258,164132,1161038,1109272,
2011,1335,6538,222281,1029597,1084700,
2011,1338,72938,1167006,13117849,6046724,
2011,1352,15657,234853,1272102,1272102,
2011,1386,60146,842049,2995021,2995021,
2011,1396,41290,619357,2860176,2860176,
2011,1437,124900,1623701,7652470,6117021,
2011,1136,9041,153695,1385734,1385734,
2011,1344,46424,742786,6460838,4696862,
2011,1348,43477,652159,2830838,2789564,
2011,1158,19775,276848,1475492,1475492,
2011,1155,58851,882770,7054691,4217341,
2011,1376,51475,669173,9190794,4023386,
2011,1157,15791,236858,1230894,1230894,
2011,1354,7662,107269,842559,942559,
2011,1457,11395,182322,1396425,1232956,
2011,1459,17882,286105,871476,871476,
2011,1355,21251,361267,865143,865143,
2011,1122,10247,143454,942767,533942,
2011,1125,8566,128495,1631279,1631278,
2011,1252,12260,208421,1524185,1524185,
2011,1190,17953,251345,1178179,1178179,
2011,1272,79867,1277868,6113027,6113027,
2011,1292,17508,315142,1390943,1390943,
2011,1151,21806,370706,1358337,1358337,
2011,1397,86639,1299591,13301579,6478312,
2011,1435,63160,1010566,9182578,6930433,
2011,1101,3225,61276,496624,468039,
2011,1124,65607,1049719,5737350,5830311,
2011,1394,32936,494034,1517421,1154614,
2011,1222,44066,660988,2282877,2845100,
2011,1249,13678,232525,1167682,1197048,
2011,1317,17065,290100,1474978,1474978,
2011,1341,15362,261162,902162,694253,
2011,1358,12848,192718,782174,782174,
2011,1374,41528,581395,2882888,2882888,
2011,1372,34912,488761,987496,987496,
2011,1401,54890,988025,8853325,5961139,
2011,1426,15355,214969,936176,936176,
2011,1400,148783,2380532,15602348,8887250,
2011,1431,48628,729416,3825065,3407917,
2011,1395,35596,569534,4181429,4181429,
2011,1427,21129,274674,1316928,1327333,
2011,1411,20872,313087,1062264,1062264,
2011,1403,67051,938715,5092921,3422404,
2011,1140,34586,553382,3882784,3589444,
2011,1429,29441,471056,3829579,2915704,
2011,1428,35576,533641,6235593,3118371,
2011,1451,18835,320201,1610054,1361978,
2011,1436,16915,219889,1585117,1289896,
2011,1206,33005,462074,2619125,2126409,
2011,1214,9691,174442,787567,825701,
2011,1241,18204,309464,1981195,1985836,
2011,1251,18922,283824,2586974,2586974,
2011,1255,12706,165172,1172027,949023,
2011,1313,16562,215306,834724,813850,
2011,1330,37378,523294,2354505,2354505,
2011,1347,12353,185298,1307569,1307569,
2011,1350,53387,854189,2654275,2654275,
2011,1439,56788,965391,9252293,4790553,
2011,1433,22737,318318,2324111,2324111,
2011,1438,104701,1675219,9788223,7390325,
2011,1186,12201,170816,901287,810804,
2011,1211,50070,801123,6250590,6250590,
