team,year,TeamID,lookup,herop_percentot
Kansas City (Summit League),2013,0,2013-0,0.213114754
Portland (WCC),2013,0,2013-0,0.213114754
Georgia (SEC),2013,1208,2013-1208,0.299342105
New Hampshire (America East),2013,0,2013-0,0.213815789
Northwestern (Big Ten),2013,1321,2013-1321,0.213815789
Dartmouth (Ivy League),2013,0,2013-0,0.21416804
A&M-Corpus Christi (Southland),2013,1394,2013-1394,0.214521452
South Carolina St. (MEAC),2013,1354,2013-1354,0.214521452
Alcorn (SWAC),2013,1108,2013-1108,0.214876033
Furman (SoCon),2013,0,2013-0,0.214876033
Eastern Ill. (OVC),2013,0,2013-0,0.215231788
Wyoming (Mountain West),2013,1461,2013-1461,0.215588723
Hartford (America East),2013,1216,2013-1216,0.244186047
Mississippi St. (SEC),2013,1280,2013-1280,0.216306156
ULM (Sun Belt),2013,0,2013-0,0.216666667
Western Ill. (Summit League),2013,0,2013-0,0.216666667
Saint Peter's (MAAC),2013,1389,2013-1389,0.245
Winthrop (Big South),2013,1457,2013-1457,0.216666667
Rice (C-USA),2013,0,2013-0,0.217028381
Fresno St. (Mountain West),2013,1201,2013-1201,0.217028381
Lamar University (Southland),2013,1249,2013-1249,0.217755444
Siena (MAAC),2013,1373,2013-1373,0.218120805
Missouri St. (MVC),2013,0,2013-0,0.218120805
South Fla. (AAC),2013,1378,2013-1378,0.218120805
Vanderbilt (SEC),2013,1435,2013-1435,0.218487395
Delaware St. (MEAC),2013,1175,2013-1175,0.218855219
UC Riverside (Big West),2013,0,2013-0,0.218855219
Hofstra (CAA),2013,0,2013-0,0.221843003
Nebraska (Big Ten),2013,1304,2013-1304,0.222222222
Wofford (SoCon),2013,1459,2013-1459,0.273504274
Manhattan (MAAC),2013,1264,2013-1264,0.22260274
American (Patriot),2013,1110,2013-1110,0.224913495
Eastern Mich. (MAC),2013,0,2013-0,0.229276896
Idaho St. (Big Sky),2013,0,2013-0,0.230088496
Savannah St. (MEAC),2013,0,2013-0,0.230905861
Binghamton (America East),2013,1127,2013-1127,0.297682709
UMES (MEAC),2013,0,2013-0,0.235507246
Navy (Patriot),2013,0,2013-0,0.235934664
TCU (Big 12),2013,1395,2013-1395,0.23853211
NIU (MAC),2013,0,2013-0,0.238970588
Howard (MEAC),2013,0,2013-0,0.250965251
Grambling (SWAC),2013,0,2013-0,0.262096774
VMI (Big South),2014,0,2014-0,0.148232611
Northwestern St. (Southland),2014,1322,2014-1322,0.217491369
BYU (WCC),2014,1140,2014-1140,0.274117647
Iona (MAAC),2014,1233,2014-1233,0.213095238
Southeast Mo. St. (OVC),2014,0,2014-0,0.15681544
Iowa (Big Ten),2014,1234,2014-1234,0.205811138
Iowa St. (Big 12),2014,1235,2014-1235,0.220606061
Oklahoma (Big 12),2014,1328,2014-1328,0.203636364
Oregon (Pac-12),2014,1332,2014-1332,0.221142163
UCLA (Pac-12),2014,1417,2014-1417,0.213414634
Louisville (),2014,1257,2014-1257,0.21393643
Charleston So. (Big South),2014,0,2014-0,0.15970516
Louisiana (Sun Belt),2014,1418,2014-1418,0.237100737
Louisiana Tech (C-USA),2014,0,2014-0,0.159901599
Oklahoma St. (Big 12),2014,1329,2014-1329,0.22180917
Toledo (MAC),2014,0,2014-0,0.161290323
Arkansas (SEC),2014,1116,2014-1116,0.161290323
Belmont (OVC),2014,1125,2014-1125,0.228179551
Creighton (Big East),2014,1166,2014-1166,0.331664581
Hawaii (Big West),2014,1218,2014-1218,0.221804511
Duke (ACC),2014,1181,2014-1181,0.240601504
Delaware (CAA),2014,1174,2014-1174,0.248431619
Kansas (Big 12),2014,1242,2014-1242,0.211055276
Mercer (ASUN),2014,1273,2014-1273,0.163934426
Quinnipiac (MAAC),2014,0,2014-0,0.164348925
Villanova (Big East),2014,1437,2014-1437,0.164556962
Eastern Ky. (OVC),2014,1184,2014-1184,0.237974684
Davidson (SoCon),2014,1172,2014-1172,0.237913486
West Virginia (Big 12),2014,1452,2014-1452,0.234394904
Memphis (AAC),2014,1272,2014-1272,0.165816327
Georgia St. (Sun Belt),2014,1209,2014-1209,0.2368758
Radford (Big South),2014,1347,2014-1347,0.216666667
New Mexico St. (WAC),2014,1308,2014-1308,0.217503218
UNC Asheville (Big South),2014,1421,2014-1421,0.261261261
Canisius (MAAC),2014,0,2014-0,0.167525773
Manhattan (MAAC),2014,1264,2014-1264,0.25
Murray St. (OVC),2014,1293,2014-1293,0.209032258
Sam Houston (Southland),2014,1358,2014-1358,0.168393782
Gonzaga (WCC),2014,1211,2014-1211,0.168393782
Utah (Pac-12),2014,1428,2014-1428,0.208549223
Youngstown St. (Horizon),2014,0,2014-0,0.169050715
Purdue Fort Wayne (Summit League),2014,0,2014-0,0.169050715
CSUN (Big West),2014,1169,2014-1169,0.232769831
Morehead St. (OVC),2014,1287,2014-1287,0.229166667
ETSU (ASUN),2014,1190,2014-1190,0.21875
North Dakota St. (Summit League),2014,1295,2014-1295,0.234680574
SFA (Southland),2014,1372,2014-1372,0.169934641
Massachusetts (Atlantic 10),2014,1269,2014-1269,0.206806283
North Carolina (ACC),2014,1314,2014-1314,0.22382199
UT Arlington (Sun Belt),2014,1426,2014-1426,0.26474443
Kentucky (SEC),2014,1246,2014-1246,0.201834862
Boise St. (Mountain West),2014,1129,2014-1129,0.21887287
Austin Peay (OVC),2014,1122,2014-1122,0.208661417
Michigan St. (Big Ten),2014,1277,2014-1277,0.229658793
Eastern Wash. (Big Sky),2014,1186,2014-1186,0.286089239
Texas Southern (SWAC),2014,1411,2014-1411,0.278215223
Mount St. Mary's (NEC),2014,1291,2014-1291,0.231884058
Lipscomb (ASUN),2014,1252,2014-1252,0.205533597
Chattanooga (SoCon),2014,1151,2014-1151,0.241743725
Arkansas St. (Sun Belt),2014,1114,2014-1114,0.200792602
Arizona St. (Pac-12),2014,1113,2014-1113,0.25
VCU (Atlantic 10),2014,1433,2014-1433,0.206349206
LSU (SEC),2014,1261,2014-1261,0.206349206
Wichita St. (MVC),2014,1455,2014-1455,0.209271523
Michigan (Big Ten),2014,1276,2014-1276,0.230463576
Oregon St. (Pac-12),2014,1333,2014-1333,0.273572377
Niagara (MAAC),2014,1310,2014-1310,0.33997344
Ole Miss (SEC),2014,1290,2014-1290,0.252659574
San Francisco (WCC),2014,1362,2014-1362,0.17310253
Portland (WCC),2014,0,2014-0,0.17310253
Baylor (Big 12),2014,1124,2014-1124,0.17310253
Washington (Pac-12),2014,1449,2014-1449,0.246995995
Western Caro. (SoCon),2014,0,2014-0,0.173564753
Northern Colo. (Big Sky),2014,1294,2014-1294,0.173796791
Elon (SoCon),2014,0,2014-0,0.173796791
Central Ark. (Southland),2014,0,2014-0,0.174029451
Green Bay (Horizon),2014,1453,2014-1453,0.272117962
Texas (Big 12),2014,1400,2014-1400,0.174496644
New Mexico (Mountain West),2014,1307,2014-1307,0.272483221
Oakland (Horizon),2014,1324,2014-1324,0.27688172
Jacksonville (ASUN),2014,0,2014-0,0.174731183
UT Martin (OVC),2014,0,2014-0,0.174966353
North Dakota (Big Sky),2014,1315,2014-1315,0.264150943
Winthrop (Big South),2014,1457,2014-1457,0.175675676
St. Bonaventure (Atlantic 10),2014,1382,2014-1382,0.225675676
Rider (MAAC),2014,0,2014-0,0.175913396
Buffalo (MAC),2014,1138,2014-1138,0.255751015
Stanford (Pac-12),2014,1390,2014-1390,0.254742547
USC Upstate (ASUN),2014,0,2014-0,0.176390773
Duquesne (Atlantic 10),2014,0,2014-0,0.176390773
George Washington (Atlantic 10),2014,1203,2014-1203,0.176630435
Harvard (Ivy League),2014,1217,2014-1217,0.176630435
Fresno St. (Mountain West),2014,1201,2014-1201,0.222826087
N.C. Central (MEAC),2014,1300,2014-1300,0.274456522
Arizona (Pac-12),2014,1112,2014-1112,0.219047619
Gardner-Webb (Big South),2014,1205,2014-1205,0.176870748
Colorado St. (Mountain West),2014,1161,2014-1161,0.228571429
Bryant (NEC),2014,1136,2014-1136,0.257493188
Cleveland St. (Horizon),2014,1156,2014-1156,0.209809264
Temple (AAC),2014,1396,2014-1396,0.239782016
LMU (CA) (WCC),2014,0,2014-0,0.177353342
East Carolina (C-USA),2014,0,2014-0,0.177353342
Tulsa (C-USA),2014,1409,2014-1409,0.177595628
UAB (C-USA),2014,1412,2014-1412,0.241803279
Wisconsin (Big Ten),2014,1458,2014-1458,0.177595628
Portland St. (Big Sky),2014,1340,2014-1340,0.177595628
Dayton (Atlantic 10),2014,1173,2014-1173,0.177595628
Towson (CAA),2014,0,2014-0,0.177595628
Norfolk St. (MEAC),2014,1313,2014-1313,0.224350205
Hampton (MEAC),2014,1214,2014-1214,0.177838577
William & Mary (CAA),2014,0,2014-0,0.177838577
Providence (Big East),2014,1344,2014-1344,0.296853625
Missouri (SEC),2014,1281,2014-1281,0.269493844
SIUE (OVC),2014,0,2014-0,0.178082192
Marshall (C-USA),2014,1267,2014-1267,0.224657534
South Dakota St. (Summit League),2014,1355,2014-1355,0.221917808
California (Pac-12),2014,1143,2014-1143,0.21399177
Weber St. (Big Sky),2014,1451,2014-1451,0.263374486
Idaho (WAC),2014,0,2014-0,0.178326475
Central Mich. (MAC),2014,1141,2014-1141,0.242798354
Indiana (Big Ten),2014,1231,2014-1231,0.239010989
UNI (MVC),2014,1320,2014-1320,0.211538462
Nevada (Mountain West),2014,1305,2014-1305,0.275103164
Coastal Carolina (Big South),2014,1157,2014-1157,0.221458047
Seton Hall (Big East),2014,1371,2014-1371,0.178817056
NJIT (Independent),2014,0,2014-0,0.178817056
UConn (AAC),2014,1163,2014-1163,0.245179063
Southern Miss. (C-USA),2014,1379,2014-1379,0.179063361
Pittsburgh (ACC),2014,1338,2014-1338,0.242424242
St. John's (NY) (Big East),2014,1385,2014-1385,0.242424242
Purdue (Big Ten),2014,1345,2014-1345,0.179063361
Saint Mary's (CA) (WCC),2014,1388,2014-1388,0.219008264
Boston U. (Patriot),2014,1131,2014-1131,0.179310345
Pacific (WCC),2014,1334,2014-1334,0.179310345
Colorado (Pac-12),2014,1160,2014-1160,0.179310345
Tennessee (SEC),2014,1397,2014-1397,0.259310345
UCF (AAC),2014,1416,2014-1416,0.226519337
North Florida (ASUN),2014,1316,2014-1316,0.179558011
Marquette (Big East),2014,1266,2014-1266,0.179558011
Rutgers (AAC),2014,1353,2014-1353,0.179558011
Army West Point (Patriot),2014,0,2014-0,0.179558011
UC Santa Barbara (Big West),2014,1364,2014-1364,0.298342541
Stony Brook (America East),2014,1392,2014-1392,0.180055402
Valparaiso (Horizon),2014,1434,2014-1434,0.221606648
Xavier (Big East),2014,1462,2014-1462,0.235457064
Alabama St. (SWAC),2014,1106,2014-1106,0.180305132
Maine (America East),2014,0,2014-0,0.180305132
FGCU (ASUN),2014,1195,2014-1195,0.180305132
Notre Dame (ACC),2014,1323,2014-1323,0.180305132
UNLV (Mountain West),2014,1424,2014-1424,0.180555556
Tennessee Tech (OVC),2014,0,2014-0,0.180555556
Southern U. (SWAC),2014,1380,2014-1380,0.180555556
Penn St. (Big Ten),2014,1336,2014-1336,0.247222222
Auburn (SEC),2014,1120,2014-1120,0.266666667
Minnesota (Big Ten),2014,1278,2014-1278,0.180555556
Oral Roberts (Southland),2014,1331,2014-1331,0.301808067
Mississippi Val. (SWAC),2014,1279,2014-1279,0.180806676
Western Mich. (MAC),2014,1444,2014-1444,0.265646732
Fordham (Atlantic 10),2014,0,2014-0,0.181311018
LIU (NEC),2014,1254,2014-1254,0.181311018
Princeton (Ivy League),2014,1343,2014-1343,0.255230126
Saint Joseph's (Atlantic 10),2014,1386,2014-1386,0.237099024
UC Irvine (Big West),2014,1414,2014-1414,0.181311018
Ohio (MAC),2014,1325,2014-1325,0.213687151
SMU (AAC),2014,1374,2014-1374,0.181564246
Florida A&M (MEAC),2014,1197,2014-1197,0.237430168
Robert Morris (NEC),2014,1352,2014-1352,0.265363128
Wagner (NEC),2014,1447,2014-1447,0.181818182
Florida (SEC),2014,1196,2014-1196,0.181818182
New Orleans (Southland),2014,1309,2014-1309,0.181818182
Brown (Ivy League),2014,0,2014-0,0.182072829
Seattle U (WAC),2014,0,2014-0,0.182072829
Charlotte (C-USA),2014,1150,2014-1150,0.182072829
Houston (AAC),2014,1222,2014-1222,0.217086835
Lafayette (Patriot),2014,1248,2014-1248,0.182072829
San Diego St. (Mountain West),2014,1361,2014-1361,0.237026648
Middle Tenn. (C-USA),2014,1292,2014-1292,0.18258427
NC State (ACC),2014,1301,2014-1301,0.348314607
Vermont (America East),2014,1436,2014-1436,0.18258427
Morgan St. (MEAC),2014,1288,2014-1288,0.259831461
Florida St. (ACC),2014,1199,2014-1199,0.18258427
Pepperdine (WCC),2014,1337,2014-1337,0.18258427
Maryland (ACC),2014,1268,2014-1268,0.182841069
Detroit Mercy (Horizon),2014,1178,2014-1178,0.182841069
Indiana St. (MVC),2014,1232,2014-1232,0.182841069
Montana (Big Sky),2014,1285,2014-1285,0.264788732
Southern California (Pac-12),2014,1425,2014-1425,0.247887324
Milwaukee (Horizon),2014,1454,2014-1454,0.183098592
Santa Clara (WCC),2014,0,2014-0,0.183356841
UNC Greensboro (SoCon),2014,1422,2014-1422,0.217514124
Idaho St. (Big Sky),2014,0,2014-0,0.183615819
Ga. Southern (SoCon),2014,0,2014-0,0.183615819
High Point (Big South),2014,0,2014-0,0.18387553
Georgetown (Big East),2014,1207,2014-1207,0.241867044
Central Conn. St. (NEC),2014,1148,2014-1148,0.184135977
Samford (SoCon),2014,0,2014-0,0.184397163
Liberty (Big South),2014,1251,2014-1251,0.184921764
North Texas (C-USA),2014,1317,2014-1317,0.185449358
UC Davis (Big West),2014,1413,2014-1413,0.256776034
Utah St. (Mountain West),2014,1429,2014-1429,0.185449358
Saint Louis (Atlantic 10),2014,1387,2014-1387,0.185449358
Chicago St. (WAC),2014,0,2014-0,0.185714286
Ohio St. (Big Ten),2014,1326,2014-1326,0.185714286
Little Rock (Sun Belt),2014,0,2014-0,0.185714286
DePaul (Big East),2014,1177,2014-1177,0.231759657
Siena (MAAC),2014,1373,2014-1373,0.185979971
Longwood (Big South),2014,1255,2014-1255,0.26504298
Wake Forest (ACC),2014,1448,2014-1448,0.186246418
Kent St. (MAC),2014,1245,2014-1245,0.186246418
Long Beach St. (Big West),2014,1253,2014-1253,0.232091691
Sacred Heart (NEC),2014,0,2014-0,0.18651363
Prairie View (SWAC),2014,1341,2014-1341,0.219512195
Southeastern La. (Southland),2014,1368,2014-1368,0.18651363
Colgate (Patriot),2014,1159,2014-1159,0.186781609
UTEP (C-USA),2014,1431,2014-1431,0.186781609
Fairleigh Dickinson (NEC),2014,1192,2014-1192,0.274425287
George Mason (Atlantic 10),2014,1206,2014-1206,0.227011494
Kansas City (WAC),2014,0,2014-0,0.18705036
CSU Bakersfield (WAC),2014,1167,2014-1167,0.230215827
South Dakota (Summit League),2014,0,2014-0,0.18705036
Evansville (MVC),2014,0,2014-0,0.187319885
Cincinnati (AAC),2014,1153,2014-1153,0.301152738
Coppin St. (MEAC),2014,1164,2014-1164,0.187590188
Kansas St. (Big 12),2014,1243,2014-1243,0.222543353
Georgia (SEC),2014,1208,2014-1208,0.187861272
A&M-Corpus Christi (Southland),2014,1394,2014-1394,0.187861272
Butler (Big East),2014,1139,2014-1139,0.242774566
UC Riverside (Big West),2014,0,2014-0,0.18813314
Monmouth (MAAC),2014,1284,2014-1284,0.188405797
St. Francis Brooklyn (NEC),2014,0,2014-0,0.188405797
Illinois St. (MVC),2014,1227,2014-1227,0.188679245
South Alabama (Sun Belt),2014,1375,2014-1375,0.247093023
South Carolina (SEC),2014,1376,2014-1376,0.188953488
Drexel (CAA),2014,1180,2014-1180,0.265988372
Sacramento St. (Big Sky),2014,0,2014-0,0.188953488
Missouri St. (MVC),2014,0,2014-0,0.18922853
Tennessee St. (OVC),2014,0,2014-0,0.18922853
Troy (Sun Belt),2014,1407,2014-1407,0.18922853
FIU (C-USA),2014,0,2014-0,0.189504373
Texas Tech (Big 12),2014,1403,2014-1403,0.189504373
UTSA (C-USA),2014,1427,2014-1427,0.189504373
Boston College (ACC),2014,1130,2014-1130,0.271137026
Hofstra (CAA),2014,0,2014-0,0.189781022
Western Ky. (Sun Belt),2014,1443,2014-1443,0.224817518
Penn (Ivy League),2014,1335,2014-1335,0.226608187
Marist (MAAC),2014,0,2014-0,0.19005848
Syracuse (ACC),2014,1393,2014-1393,0.247437775
McNeese (Southland),2014,1270,2014-1270,0.256222548
Columbia (Ivy League),2014,0,2014-0,0.19033675
Nicholls (Southland),2014,0,2014-0,0.19033675
Drake (MVC),2014,1179,2014-1179,0.243045388
Alabama (SEC),2014,1104,2014-1104,0.275659824
Dartmouth (Ivy League),2014,0,2014-0,0.191176471
Montana St. (Big Sky),2014,1286,2014-1286,0.191176471
Wofford (SoCon),2014,1459,2014-1459,0.226470588
Rhode Island (Atlantic 10),2014,1348,2014-1348,0.245588235
Cal St. Fullerton (Big West),2014,1168,2014-1168,0.259204713
App State (SoCon),2014,1111,2014-1111,0.191740413
Akron (MAC),2014,1103,2014-1103,0.192023634
Eastern Ill. (OVC),2014,0,2014-0,0.192023634
Campbell (Big South),2014,0,2014-0,0.192307692
La Salle (Atlantic 10),2014,1247,2014-1247,0.192307692
Wright St. (Horizon),2014,1460,2014-1460,0.192592593
Houston Christian (Southland),2014,0,2014-0,0.192592593
Mississippi St. (SEC),2014,1280,2014-1280,0.193164933
Northern Ariz. (Big Sky),2014,0,2014-0,0.193452381
Utah Valley (WAC),2014,0,2014-0,0.193740686
The Citadel (SoCon),2014,0,2014-0,0.194029851
Nebraska (Big Ten),2014,1304,2014-1304,0.268656716
Holy Cross (Patriot),2014,1221,2014-1221,0.229850746
Southern Ill. (MVC),2014,1356,2014-1356,0.278026906
San Diego (WCC),2014,1360,2014-1360,0.251497006
UIC (Horizon),2014,0,2014-0,0.194610778
Eastern Mich. (MAC),2014,0,2014-0,0.194902549
Lamar University (Southland),2014,1249,2014-1249,0.194902549
Richmond (Atlantic 10),2014,1350,2014-1350,0.23988006
Yale (Ivy League),2014,1463,2014-1463,0.256756757
Denver (Summit League),2014,0,2014-0,0.195488722
Georgia Tech (ACC),2014,1210,2014-1210,0.195488722
Fla. Atlantic (C-USA),2014,1194,2014-1194,0.284210526
IUPUI (Summit League),2014,1237,2014-1237,0.237951807
Virginia (ACC),2014,1438,2014-1438,0.196078431
Lehigh (Patriot),2014,1250,2014-1250,0.196078431
UMES (MEAC),2014,0,2014-0,0.196078431
Air Force (Mountain West),2014,1102,2014-1102,0.240181269
UAlbany (America East),2014,1107,2014-1107,0.238239757
Northeastern (CAA),2014,1318,2014-1318,0.241274659
Bucknell (Patriot),2014,1137,2014-1137,0.233687405
N.C. A&T (MEAC),2014,1299,2014-1299,0.264036419
Loyola Chicago (MVC),2014,1260,2014-1260,0.197568389
UTRGV (WAC),2014,0,2014-0,0.197869102
Ball St. (MAC),2014,0,2014-0,0.198170732
UMBC (America East),2014,1420,2014-1420,0.198170732
South Fla. (AAC),2014,1378,2014-1378,0.242748092
Hartford (America East),2014,1216,2014-1216,0.233587786
Miami (OH) (MAC),2014,1275,2014-1275,0.198776758
Presbyterian (Big South),2014,0,2014-0,0.198776758
Grambling (SWAC),2014,0,2014-0,0.198776758
Jackson St. (SWAC),2014,1238,2014-1238,0.232415902
Loyola Maryland (Patriot),2014,1259,2014-1259,0.199386503
Furman (SoCon),2014,0,2014-0,0.199386503
Wyoming (Mountain West),2014,1461,2014-1461,0.236196319
Kennesaw St. (ASUN),2014,0,2014-0,0.2
Jacksonville St. (OVC),2014,1240,2014-1240,0.2
Alabama A&M (SWAC),2014,1105,2014-1105,0.200308166
Illinois (Big Ten),2014,1228,2014-1228,0.242658423
Texas A&M (SEC),2014,1401,2014-1401,0.20123839
Vanderbilt (SEC),2014,1435,2014-1435,0.201550388
Alcorn (SWAC),2014,1108,2014-1108,0.251162791
ULM (Sun Belt),2014,0,2014-0,0.202177294
Tulane (C-USA),2014,0,2014-0,0.202177294
American (Patriot),2014,1110,2014-1110,0.202492212
Cornell (Ivy League),2014,1165,2014-1165,0.262090484
Bradley (MVC),2014,1133,2014-1133,0.283018868
Old Dominion (C-USA),2014,1330,2014-1330,0.256289308
Ark.-Pine Bluff (SWAC),2014,1115,2014-1115,0.204402516
TCU (Big 12),2014,1395,2014-1395,0.267716535
Fairfield (MAAC),2014,0,2014-0,0.205047319
Bethune-Cookman (MEAC),2014,0,2014-0,0.205047319
South Carolina St. (MEAC),2014,1354,2014-1354,0.205371248
Saint Peter's (MAAC),2014,1389,2014-1389,0.262243286
Virginia Tech (ACC),2014,1439,2014-1439,0.205696203
Clemson (ACC),2014,1155,2014-1155,0.272151899
James Madison (CAA),2014,1241,2014-1241,0.205696203
Cal Poly (Big West),2014,1142,2014-1142,0.205696203
Bowling Green (MAC),2014,0,2014-0,0.206022187
UNCW (CAA),2014,1423,2014-1423,0.206022187
Col. of Charleston (CAA),2014,1158,2014-1158,0.206349206
NIU (MAC),2014,0,2014-0,0.206349206
San Jose St. (Mountain West),2014,0,2014-0,0.206677266
Washington St. (Pac-12),2014,1450,2014-1450,0.208333333
Savannah St. (MEAC),2014,0,2014-0,0.209677419
Howard (MEAC),2014,0,2014-0,0.209677419
Stetson (ASUN),2014,0,2014-0,0.210355987
Saint Francis (PA) (NEC),2014,0,2014-0,0.210355987
Rice (C-USA),2014,0,2014-0,0.210355987
Miami (FL) (ACC),2014,1274,2014-1274,0.249594814
Delaware St. (MEAC),2014,1175,2014-1175,0.211038961
Texas St. (Sun Belt),2014,0,2014-0,0.211726384
Binghamton (America East),2014,1127,2014-1127,0.251223491
Western Ill. (Summit League),2014,0,2014-0,0.212071778
Navy (Patriot),2014,0,2014-0,0.21416804
Northwestern (Big Ten),2014,1321,2014-1321,0.260504202
Southern Utah (Big Sky),2014,0,2014-0,0.220338983
New Hampshire (America East),2014,0,2014-0,0.224913495
Northwestern St. (Southland),2015,1322,2015-1322,0.266984505
BYU (WCC),2015,1140,2015-1140,0.264916468
Duke (ACC),2015,1181,2015-1181,0.216482165
VMI (SoCon),2015,0,2015-0,0.160098522
Davidson (Atlantic 10),2015,1172,2015-1172,0.209677419
Eastern Wash. (Big Sky),2015,1186,2015-1186,0.28447205
Iona (MAAC),2015,1233,2015-1233,0.250314465
Iowa St. (Big 12),2015,1235,2015-1235,0.191677175
Murray St. (OVC),2015,1293,2015-1293,0.256637168
Arkansas (SEC),2015,1116,2015-1116,0.225316456
SFA (Southland),2015,1372,2015-1372,0.196202532
Notre Dame (ACC),2015,1323,2015-1323,0.212927757
Gonzaga (WCC),2015,1211,2015-1211,0.210659898
North Carolina (ACC),2015,1314,2015-1314,0.166240409
Central Mich. (MAC),2015,1141,2015-1141,0.195902689
Louisiana (Sun Belt),2015,1418,2015-1418,0.217669654
Hofstra (CAA),2015,0,2015-0,0.166666667
Indiana (Big Ten),2015,1231,2015-1231,0.205128205
Ohio St. (Big Ten),2015,1326,2015-1326,0.250975293
Villanova (Big East),2015,1437,2015-1437,0.169491525
Arizona (Pac-12),2015,1112,2015-1112,0.169712794
Idaho (Big Sky),2015,0,2015-0,0.169934641
North Florida (ASUN),2015,1316,2015-1316,0.210249671
Oregon (Pac-12),2015,1332,2015-1332,0.260526316
Toledo (MAC),2015,0,2015-0,0.17218543
Northern Colo. (Big Sky),2015,1294,2015-1294,0.172642762
Buffalo (MAC),2015,1138,2015-1138,0.245989305
Xavier (Big East),2015,1462,2015-1462,0.174029451
Gardner-Webb (Big South),2015,1205,2015-1205,0.253012048
Kentucky (SEC),2015,1246,2015-1246,0.174262735
Belmont (OVC),2015,1125,2015-1125,0.24295302
Lafayette (Patriot),2015,1248,2015-1248,0.235531629
Charlotte (C-USA),2015,1150,2015-1150,0.174966353
West Virginia (Big 12),2015,1452,2015-1452,0.195681511
Charleston So. (Big South),2015,0,2015-0,0.175675676
Sam Houston (Southland),2015,1358,2015-1358,0.175675676
Minnesota (Big Ten),2015,1278,2015-1278,0.193243243
LSU (SEC),2015,1261,2015-1261,0.22899729
Sacred Heart (NEC),2015,0,2015-0,0.176151762
Winthrop (Big South),2015,1457,2015-1457,0.252374491
Oakland (Horizon),2015,1324,2015-1324,0.237449118
Hawaii (Big West),2015,1218,2015-1218,0.177111717
ETSU (SoCon),2015,1190,2015-1190,0.27520436
South Dakota St. (Summit League),2015,1355,2015-1355,0.177353342
High Point (Big South),2015,0,2015-0,0.177353342
Louisiana Tech (C-USA),2015,0,2015-0,0.177595628
William & Mary (CAA),2015,0,2015-0,0.177838577
Ole Miss (SEC),2015,1290,2015-1290,0.227086183
Colorado St. (Mountain West),2015,1161,2015-1161,0.231506849
Stanford (Pac-12),2015,1390,2015-1390,0.262002743
Coppin St. (MEAC),2015,1164,2015-1164,0.178571429
USC Upstate (ASUN),2015,0,2015-0,0.178817056
Radford (Big South),2015,1347,2015-1347,0.207702889
Georgia St. (Sun Belt),2015,1209,2015-1209,0.277854195
Chattanooga (SoCon),2015,1151,2015-1151,0.178817056
Western Ky. (C-USA),2015,1443,2015-1443,0.242758621
Oklahoma (Big 12),2015,1328,2015-1328,0.240331492
UNC Asheville (Big South),2015,1421,2015-1421,0.265560166
Duquesne (Atlantic 10),2015,0,2015-0,0.179806362
VCU (Atlantic 10),2015,1433,2015-1433,0.22406639
Portland St. (Big Sky),2015,1340,2015-1340,0.218533887
Utah (Pac-12),2015,1428,2015-1428,0.199445983
Houston Christian (Southland),2015,0,2015-0,0.180055402
Michigan St. (Big Ten),2015,1277,2015-1277,0.20498615
Army West Point (Patriot),2015,0,2015-0,0.180305132
Lipscomb (ASUN),2015,1252,2015-1252,0.234722222
UT Arlington (Sun Belt),2015,1426,2015-1426,0.180806676
Kansas (Big 12),2015,1242,2015-1242,0.180806676
Eastern Ky. (OVC),2015,1184,2015-1184,0.254520167
Montana (Big Sky),2015,1285,2015-1285,0.233983287
Delaware St. (MEAC),2015,1175,2015-1175,0.291492329
St. John's (NY) (Big East),2015,1385,2015-1385,0.248256625
Wisconsin (Big Ten),2015,1458,2015-1458,0.256624826
Lamar University (Southland),2015,1249,2015-1249,0.205594406
Alabama St. (SWAC),2015,1106,2015-1106,0.181818182
Western Mich. (MAC),2015,1444,2015-1444,0.211188811
UCLA (Pac-12),2015,1417,2015-1417,0.227972028
Youngstown St. (Horizon),2015,0,2015-0,0.181818182
Coastal Carolina (Big South),2015,1157,2015-1157,0.182072829
UC Davis (Big West),2015,1413,2015-1413,0.288515406
Georgetown (Big East),2015,1207,2015-1207,0.224403927
UTSA (C-USA),2015,1427,2015-1427,0.228932584
NJIT (Independent),2015,0,2015-0,0.18258427
New Orleans (Southland),2015,1309,2015-1309,0.18258427
Morehead St. (OVC),2015,1287,2015-1287,0.182841069
Washington St. (Pac-12),2015,1450,2015-1450,0.242253521
Purdue (Big Ten),2015,1345,2015-1345,0.18387553
Detroit Mercy (Horizon),2015,1178,2015-1178,0.18387553
Western Caro. (SoCon),2015,0,2015-0,0.184135977
Boise St. (Mountain West),2015,1129,2015-1129,0.277620397
NC State (ACC),2015,1301,2015-1301,0.228045326
Elon (CAA),2015,0,2015-0,0.184135977
Tennessee Tech (OVC),2015,0,2015-0,0.184397163
Sacramento St. (Big Sky),2015,0,2015-0,0.184659091
Providence (Big East),2015,1344,2015-1344,0.285511364
Valparaiso (Horizon),2015,1434,2015-1434,0.241820768
Portland (WCC),2015,0,2015-0,0.184921764
Norfolk St. (MEAC),2015,1313,2015-1313,0.274537696
Ga. Southern (Sun Belt),2015,0,2015-0,0.185449358
Vanderbilt (SEC),2015,1435,2015-1435,0.204285714
Illinois (Big Ten),2015,1228,2015-1228,0.185979971
UNCW (CAA),2015,1423,2015-1423,0.206008584
Maryland (Big Ten),2015,1268,2015-1268,0.228898426
